match_id,date,group,stage,match,team1,team2,time,venue,category,reason,score_team1,score_team2,winner,group_rank_team1,group_rank_team2,points_team1,points_team2,GF_team1,GF_team2,GA_team1,GA_team2,GD_team1,GD_team2,team1_slot,team2_slot,confirmed
75,30/06/2026,,Round of 32,Germany vs Paraguay,Germany,Paraguay,1:30,Boston Stadium,Must Watch,"Germany's high-octane press against a resilient Paraguay side promises energy, but the gulf in class may limit genuine drama.",4,5,Paraguay,0,0,0,0,0,0,0,0,0,0,Germany,3ABCDF,confirmed
76,30/06/2026,,Round of 32,Netherlands vs Morocco,Netherlands,Morocco,6:00,Estadio Monterrey,Must Watch,"Morocco's warrior mentality and defensive resilience against the Netherlands' attacking firepower promises a fierce, emotional battle.",3,4,Morocco,0,0,0,0,0,0,0,0,0,0,1F,2C,confirmed
77,30/06/2026,,Round of 32,Ivory Coast vs Norway,Ivory Coast,Norway,22:00,Dallas Stadium,Must Watch,"Haaland vs a pacey, technical Ivory Coast attack � raw firepower on both ends guarantees end-to-end excitement.",1,2,Norway,0,0,0,0,0,0,0,0,0,0,2E,2I,confirmed
78,01/07/2026,,Round of 32,France vs Sweden,France,Sweden,2:00,New York New Jersey Stadium,Worth Watching,"France's world-class attack against Sweden's disciplined structure offers intrigue, though one-sided spells are likely.",3,0,France,0,0,0,0,0,0,0,0,0,0,1I,3CDFGH,confirmed
79,01/07/2026,,Round of 32,Mexico vs Ecuador,Mexico,Ecuador,6:00,Mexico City Stadium,Worth Watching,Two feisty CONMEBOL and CONCACAF rivals with physicality and tactical nous making for an entertaining tactical battle.,2,0,Mexico,0,0,0,0,0,0,0,0,0,0,Mexico,3CEFHI,confirmed
80,01/07/2026,,Round of 32,England vs Congo DR,England,Congo DR,21:00,Atlanta Stadium,Optional,"England's superior quality should make this a routine, low-intensity affair with little genuine threat from Congo DR.",2,1,England,0,0,0,0,0,0,0,0,0,0,1L,3EHIJK,confirmed
81,02/07/2026,,Round of 32,Belgium vs Senegal,Belgium,Senegal,1:00,Seattle Stadium,Optional,"Belgium's ageing golden generation faces a hungry, athletic Senegal side in what could be a defining moment for both.",3,2,Belgium,0,0,0,0,0,0,0,0,0,0,1G,3AEHIJ,confirmed
82,02/07/2026,,Round of 32,USA vs Bosnia and Herzegovina,USA,Bosnia and Herzegovina,5:00,San Francisco Bay Area Stadium,Optional,A high-energy USA side playing on home soil against a technically gifted Bosnia team makes for an interesting clash of styles.,2,0,USA,0,0,0,0,0,0,0,0,0,0,USA,3BEFIJ,confirmed
83,03/07/2026,,Round of 32,Spain vs Austria,Spain,Austria,0:00,Los Angeles Stadium,Must Watch,Spain's possession masterclass meets Austria's aggressive gegenpressing in what could be the purest football contest of the round.,3,0,Spain,0,0,0,0,0,0,0,0,0,0,1H,2J,confirmed
84,03/07/2026,,Round of 32,Portugal vs Croatia,Portugal,Croatia,4:00,Toronto Stadium,Worth Watching,Two technically gifted European nations with match-winners and superstars throughout generating moments of brilliance even if it stays tight.,2,1,Portugal,0,0,0,0,0,0,0,0,0,0,2K,2L,confirmed
85,03/07/2026,,Round of 32,Switzerland vs Algeria,Switzerland,Algeria,8:00,BC Place Vancouver,Optional,"A pragmatic Swiss side against a limited Algeria team points to a tight, uneventful contest with few moments of quality.",2,0,Switzerland,0,0,0,0,0,0,0,0,0,0,1B,3EFGIJ,confirmed
86,03/07/2026,,Round of 32,Australia vs Egypt,Australia,Egypt,22:00,Dallas Stadium,Optional,"Neither side carries enough attacking punch to make this a must-see, expect a cautious, low-scoring grind.",3,5,Egypt,0,0,0,0,0,0,0,0,0,0,2D,2G,confirmed
87,04/07/2026,,Round of 32,Argentina vs Cabo Verde,Argentina,Cabo Verde,3:00,Miami Stadium,Worth Watching,"Messi and company should shine, but Cabo Verde's organised defending and nothing-to-lose attitude offers pockets of drama with a chance of an astounding upset",3,2,Argentina,0,0,0,0,0,0,0,0,0,0,Argentina,2H,confirmed
88,04/07/2026,,Round of 32,Colombia vs Ghana,Colombia,Ghana,6:30,Kansas City Stadium,Optional,"Inconsistency from both sides and a lack of marquee names makes this a low-intensity and a cagey encounter, with even a possibility of penalties",1,0,Colombia,0,0,0,0,0,0,0,0,0,0,1K,3DEIJL,confirmed
89,04/07/2026,,Round of 16,Canada vs Morocco,Canada,Morocco,22:00,Houston Stadium,TBD,TBD,0,0,,0,0,0,0,0,0,0,0,0,0,W73,W76,
90,05/07/2026,,Round of 16,Paraguay vs Norway,Paraguay,Norway,2:00,Philadelphia Stadium,TBD,TBD,0,0,,0,0,0,0,0,0,0,0,0,0,W75,W77,
91,06/07/2026,,Round of 16,Brazil vs France,Brazil,France,1:00,New York New Jersey Stadium,TBD,TBD,0,0,,0,0,0,0,0,0,0,0,0,0,W74,W78,
92,06/07/2026,,Round of 16,Mexico vs England,Mexico,England,5:00,Mexico City Stadium,TBD,TBD,0,0,,0,0,0,0,0,0,0,0,0,0,W79,W80,
93,07/07/2026,,Round of 16,Spain vs Portugal,Spain,Portugal,0:00,Dallas Stadium,TBD,TBD,0,0,,0,0,0,0,0,0,0,0,0,0,W83,W84,
94,07/07/2026,,Round of 16,Belgium vs USA,Belgium,USA,5:00,Seattle Stadium,TBD,TBD,0,0,,0,0,0,0,0,0,0,0,0,0,W81,W82,
95,07/07/2026,,Round of 16,Egypt vs Colombia,Egypt,Colombia,21:00,Atlanta Stadium,TBD,TBD,0,0,,0,0,0,0,0,0,0,0,0,0,W86,W88,
96,08/07/2026,,Round of 16,Switzerland vs Argentina,Switzerland,Argentina,1:00,BC Place Vancouver,TBD,TBD,0,0,,0,0,0,0,0,0,0,0,0,0,W85,W87,
97,10/07/2026,,Quarter-final,W89 vs W90,W89,W90,1:00,Boston Stadium,TBD,TBD,0,0,,0,0,0,0,0,0,0,0,0,0,W89,W90,
98,11/07/2026,,Quarter-final,W93 vs W94,W93,W94,0:00,Los Angeles Stadium,TBD,TBD,0,0,,0,0,0,0,0,0,0,0,0,0,W93,W94,
99,12/07/2026,,Quarter-final,W91 vs W92,W91,W92,2:00,Miami Stadium,TBD,TBD,0,0,,0,0,0,0,0,0,0,0,0,0,W91,W92,
100,12/07/2026,,Quarter-final,W95 vs W96,W95,W96,6:00,Kansas City Stadium,TBD,TBD,0,0,,0,0,0,0,0,0,0,0,0,0,W95,W96,
101,15/07/2026,,Semi-final,W97 vs W98,W97,W98,0:00,Dallas Stadium,TBD,TBD,0,0,,0,0,0,0,0,0,0,0,0,0,W97,W98,
102,16/07/2026,,Semi-final,W99 vs W100,W99,W100,0:00,Atlanta Stadium,TBD,TBD,0,0,,0,0,0,0,0,0,0,0,0,0,W99,W100,
103,19/07/2026,,Play-off for third place,L101 vs L102,L101,L102,2:00,Miami Stadium,TBD,TBD,0,0,,0,0,0,0,0,0,0,0,0,0,L101,L102,
104,20/07/2026,,Final,W101 vs W102,W101,W102,0:00,New York New Jersey Stadium,TBD,TBD,0,0,,0,0,0,0,0,0,0,0,0,0,W101,W102,
